HODNOTA1,HODNOTA2
"Praha","Praha-západ"
"Praha","Praha-východ"
"Praha-západ","Příbram"
"Praha-západ","Benešov"
"Praha-západ","Beroun"
"Praha-západ","Kladno"
"Praha-západ","Mělník"
"Příbram","Beroun"
"Příbram","Benešov"
"Příbram","Písek"
"Příbram","Strakonice"
"Příbram","Plzeň-jih"
"Příbram","Rokycany"
"Rakovník","Kladno"
"Rakovník","Beroun"
"Rakovník","Rokycany"
"Rakovník","Plzeň-sever"
"Rakovník","Louny"
"Benešov","Praha-východ"
"Benešov","Tábor"
"Benešov","Kutná Hora"
"Benešov","Kolín"
"Benešov","Pelhřimov"
"Benešov","Havlíčkův Brod"
"Beroun","Kladno"
"Beroun","Rokycany"
"Kladno","Mělník"
"Kladno","Louny"
"Kladno","Litoměřice"
"Kolín","Kutná Hora"
"Kolín","Nymburk"
"Kolín","Praha-východ"
"Kolín","Hradec Králové"
"Kolín","Pardubice"
"Kutná Hora","Pardubice"
"Kutná Hora","Chrudim"
"Kutná Hora","Havlíčkův Brod"
"Mělník","Mladá Boleslav"
"Mělník","Praha-východ"
"Mělník","Litoměřice"
"Mělník","Česká Lípa"
"Mladá Boleslav","Česká Lípa"
"Mladá Boleslav","Semily"
"Mladá Boleslav","Liberec"
"Mladá Boleslav","Nymburk"
"Mladá Boleslav","Praha-východ"
"Nymburk","Praha-východ"
"Nymburk","Jičín"
"Nymburk","Hradec Králové"
"České Budějovice","Český Krumlov"
"České Budějovice","Prachatice"
"České Budějovice","Jindřichův Hradec"
"České Budějovice","Písek"
"České Budějovice","Strakonice"
"České Budějovice","Tábor"
"Český Krumlov","Prachatice"
"Jindřichův Hradec","Tábor"
"Jindřichův Hradec","Pelhřimov"
"Jindřichův Hradec","Jihlava"
"Jindřichův Hradec","Třebíč"
"Jindřichův Hradec","Znojmo"
"Písek","Strakonice"
"Písek","Tábor"
"Prachatice","Strakonice"
"Prachatice","Klatovy"
"Strakonice","Klatovy"
"Strakonice","Plzeň-jih"
"Tábor","Pelhřimov"
"Domažlice","Klatovy"
"Domažlice","Plzeň-jih"
"Domažlice","Tachov"
"Klatovy","Plzeň-jih"
"Plzeň-město","Plzeň-jih"
"Plzeň-město","Plzeň-sever"
"Plzeň-jih","Plzeň-sever"
"Plzeň-jih","Rokycany"
"Plzeň-jih","Tachov"
"Plzeň-sever","Rokycany"
"Plzeň-sever","Tachov"
"Plzeň-sever","Karlovy Vary"
"Plzeň-sever","Louny"
"Tachov","Karlovy Vary"
"Tachov","Cheb"
"Cheb","Karlovy Vary"
"Cheb","Sokolov"
"Karlovy Vary","Sokolov"
"Karlovy Vary","Louny"
"Karlovy Vary","Chomutov"
"Děčín","Litoměřice"
"Děčín","Ústí nad Labem"
