KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,ZEME3
"CS","CZEMALFA",1186,"AD","Andorra","Andorrské knížectví","01.01.1900","09.09.9999","AND"
"CS","CZEMALFA",1186,"AE","Spojené arabské emiráty","Stát Spojené arabské emiráty","01.01.1900","09.09.9999","ARE"
"CS","CZEMALFA",1186,"AF","Afghánistán","Afghánská islámská republika","01.01.1900","09.09.9999","AFG"
"CS","CZEMALFA",1186,"AG","Antigua a Barbuda","Antigua a Barbuda","01.01.1900","09.09.9999","ATG"
"CS","CZEMALFA",1186,"AI","Anguilla","Anguilla","01.01.1900","09.09.9999","AIA"
"CS","CZEMALFA",1186,"AL","Albánie","Albánská republika","01.01.1900","09.09.9999","ALB"
"CS","CZEMALFA",1186,"AM","Arménie","Arménská republika","01.01.1900","09.09.9999","ARM"
"CS","CZEMALFA",1186,"AO","Angola","Angolská republika","01.01.1900","09.09.9999","AGO"
"CS","CZEMALFA",1186,"AQ","Antarktida","Antarktida","01.01.1900","09.09.9999","ATA"
"CS","CZEMALFA",1186,"AR","Argentina","Argentinská republika","01.01.1900","09.09.9999","ARG"
"CS","CZEMALFA",1186,"AS","Americká Samoa","Území Americká Samoa","01.01.1900","09.09.9999","ASM"
"CS","CZEMALFA",1186,"AT","Rakousko","Rakouská republika","01.01.1900","09.09.9999","AUT"
"CS","CZEMALFA",1186,"AU","Austrálie","Australské společenství","01.01.1900","09.09.9999","AUS"
"CS","CZEMALFA",1186,"AW","Aruba","Aruba","01.01.1900","09.09.9999","ABW"
"CS","CZEMALFA",1186,"AX","Alandy","Provincie Alandy","13.02.2004","09.09.9999","ALA"
"CS","CZEMALFA",1186,"AZ","Ázerbájdžán","Ázerbájdžánská republika","01.01.1900","09.09.9999","AZE"
"CS","CZEMALFA",1186,"BA","Bosna a Hercegovina","Bosna a Hercegovina","01.01.1900","09.09.9999","BIH"
"CS","CZEMALFA",1186,"BB","Barbados","Barbados","01.01.1900","09.09.9999","BRB"
"CS","CZEMALFA",1186,"BD","Bangladéš","Bangladéšská lidová republika","01.01.1900","09.09.9999","BGD"
"CS","CZEMALFA",1186,"BE","Belgie","Belgické království","01.01.1900","09.09.9999","BEL"
"CS","CZEMALFA",1186,"BF","Burkina Faso","Burkina Faso","01.01.1900","09.09.9999","BFA"
"CS","CZEMALFA",1186,"BG","Bulharsko","Bulharská republika","01.01.1900","09.09.9999","BGR"
"CS","CZEMALFA",1186,"BH","Bahrajn","Království Bahrajn","01.01.1900","09.09.9999","BHR"
"CS","CZEMALFA",1186,"BI","Burundi","Burundská republika","01.01.1900","09.09.9999","BDI"
"CS","CZEMALFA",1186,"BJ","Benin","Beninská republika","01.01.1900","09.09.9999","BEN"
"CS","CZEMALFA",1186,"BL","Svatý Bartoloměj","Společenství Svatý Bartoloměj","21.09.2007","09.09.9999","BLM"
"CS","CZEMALFA",1186,"BM","Bermudy","Bermudy","01.01.1900","09.09.9999","BMU"
"CS","CZEMALFA",1186,"BN","Brunej","Stát Brunej Darussalam","01.01.1900","09.09.9999","BRN"
"CS","CZEMALFA",1186,"BO","Bolívie","Mnohonárodní stát Bolívie","01.01.1900","09.09.9999","BOL"
"CS","CZEMALFA",1186,"BQ","Bonaire, Svatý Eustach a Saba","Bonaire, Svatý Eustach a Saba","01.07.2011","09.09.9999","BES"
"CS","CZEMALFA",1186,"BR","Brazílie","Brazilská federativní republika","01.01.1900","09.09.9999","BRA"
"CS","CZEMALFA",1186,"BS","Bahamy","Bahamské společenství","01.01.1900","09.09.9999","BHS"
"CS","CZEMALFA",1186,"BT","Bhútán","Bhútánské království","01.01.1900","09.09.9999","BTN"
"CS","CZEMALFA",1186,"BV","Bouvetův ostrov","Bouvetův ostrov","01.01.1900","09.09.9999","BVT"
"CS","CZEMALFA",1186,"BW","Botswana","Botswanská republika","01.01.1900","09.09.9999","BWA"
"CS","CZEMALFA",1186,"BY","Bělorusko","Běloruská republika","01.01.1900","09.09.9999","BLR"
"CS","CZEMALFA",1186,"BZ","Belize","Belize","01.01.1900","09.09.9999","BLZ"
"CS","CZEMALFA",1186,"CA","Kanada","Kanada","01.01.1900","09.09.9999","CAN"
"CS","CZEMALFA",1186,"CC","Kokosové (Keelingovy) ostrovy","Území Kokosové (Keelingovy) ostrovy","01.01.1900","09.09.9999","CCK"
"CS","CZEMALFA",1186,"CD","Konžská demokratická republika","Konžská demokratická republika","01.01.1998","09.09.9999","COD"
"CS","CZEMALFA",1186,"CF","Středoafrická republika","Středoafrická republika","01.01.1900","09.09.9999","CAF"
"CS","CZEMALFA",1186,"CG","Konžská republika","Konžská republika","01.01.1900","09.09.9999","COG"
"CS","CZEMALFA",1186,"CH","Švýcarsko","Švýcarská konfederace","01.01.1900","09.09.9999","CHE"
"CS","CZEMALFA",1186,"CI","Pobřeží slonoviny","Republika Pobřeží slonoviny","01.01.1900","09.09.9999","CIV"
"CS","CZEMALFA",1186,"CK","Cookovy ostrovy","Cookovy ostrovy","01.01.1900","09.09.9999","COK"
"CS","CZEMALFA",1186,"CL","Chile","Chilská republika","01.01.1900","09.09.9999","CHL"
"CS","CZEMALFA",1186,"CM","Kamerun","Kamerunská republika","01.01.1900","09.09.9999","CMR"
"CS","CZEMALFA",1186,"CN","Čína","Čínská lidová republika","01.01.1900","09.09.9999","CHN"
"CS","CZEMALFA",1186,"CO","Kolumbie","Kolumbijská republika","01.01.1900","09.09.9999","COL"
"CS","CZEMALFA",1186,"CR","Kostarika","Kostarická republika","01.01.1900","09.09.9999","CRI"
"CS","CZEMALFA",1186,"CU","Kuba","Kubánská republika","01.01.1900","09.09.9999","CUB"
"CS","CZEMALFA",1186,"CV","Kapverdy","Kapverdská republika","01.01.1900","09.09.9999","CPV"
"CS","CZEMALFA",1186,"CW","Curaçao","Země Curaçao","01.07.2011","09.09.9999","CUW"
"CS","CZEMALFA",1186,"CX","Vánoční ostrov","Území Vánoční ostrov","01.01.1900","09.09.9999","CXR"
"CS","CZEMALFA",1186,"CY","Kypr","Kyperská republika","01.01.1900","09.09.9999","CYP"
"CS","CZEMALFA",1186,"CZ","Česko","Česká republika","01.01.1900","09.09.9999","CZE"
"CS","CZEMALFA",1186,"DE","Německo","Spolková republika Německo","01.01.1900","09.09.9999","DEU"
"CS","CZEMALFA",1186,"DJ","Džibutsko","Džibutská republika","01.01.1900","09.09.9999","DJI"
"CS","CZEMALFA",1186,"DK","Dánsko","Dánské království","01.01.1900","09.09.9999","DNK"
"CS","CZEMALFA",1186,"DM","Dominika","Dominické společenství","01.01.1900","09.09.9999","DMA"
"CS","CZEMALFA",1186,"DO","Dominikánská republika","Dominikánská republika","01.01.1900","09.09.9999","DOM"
"CS","CZEMALFA",1186,"DZ","Alžírsko","Alžírská demokratická a lidová republika","01.01.1900","09.09.9999","DZA"
"CS","CZEMALFA",1186,"EC","Ekvádor","Ekvádorská republika","01.01.1900","09.09.9999","ECU"
"CS","CZEMALFA",1186,"EE","Estonsko","Estonská republika","01.01.1900","09.09.9999","EST"
"CS","CZEMALFA",1186,"EG","Egypt","Egyptská arabská republika","01.01.1900","09.09.9999","EGY"
"CS","CZEMALFA",1186,"EH","Západní Sahara","Saharská arabská demokratická republika","01.01.1900","09.09.9999","ESH"
"CS","CZEMALFA",1186,"ER","Eritrea","Stát Eritrea","01.01.1994","09.09.9999","ERI"
"CS","CZEMALFA",1186,"ES","Španělsko","Španělské království","01.01.1900","09.09.9999","ESP"
"CS","CZEMALFA",1186,"ET","Etiopie","Etiopská federativní demokratická republika","01.01.1900","09.09.9999","ETH"
"CS","CZEMALFA",1186,"FI","Finsko","Finská republika","01.01.1900","09.09.9999","FIN"
"CS","CZEMALFA",1186,"FJ","Fidži","Fidžijská republika","01.01.1900","09.09.9999","FJI"
"CS","CZEMALFA",1186,"FK","Falklandy (Malvíny)","Falklandy (Malvíny)","01.01.1900","09.09.9999","FLK"
"CS","CZEMALFA",1186,"FM","Mikronésie","Federativní státy Mikronésie","01.01.1900","09.09.9999","FSM"
"CS","CZEMALFA",1186,"FO","Faerské ostrovy","Faerské ostrovy","01.01.1900","09.09.9999","FRO"
"CS","CZEMALFA",1186,"FR","Francie","Francouzská republika","01.01.1900","09.09.9999","FRA"
"CS","CZEMALFA",1186,"GA","Gabon","Gabonská republika","01.01.1900","09.09.9999","GAB"
"CS","CZEMALFA",1186,"GB","Velká Británie","Spojené království Velké Británie a Severního Irska","01.01.1900","09.09.9999","GBR"
"CS","CZEMALFA",1186,"GD","Grenada","Grenada","01.01.1900","09.09.9999","GRD"
"CS","CZEMALFA",1186,"GE","Gruzie","Gruzie","01.01.1900","09.09.9999","GEO"
"CS","CZEMALFA",1186,"GF","Francouzská Guyana","Francouzská Guyana","01.01.1900","09.09.9999","GUF"
"CS","CZEMALFA",1186,"GG","Guernsey","Bailiwick Guernsey","29.03.2006","09.09.9999","GGY"
"CS","CZEMALFA",1186,"GH","Ghana","Ghanská republika","01.01.1900","09.09.9999","GHA"
"CS","CZEMALFA",1186,"GI","Gibraltar","Gibraltar","01.01.1900","09.09.9999","GIB"
"CS","CZEMALFA",1186,"GL","Grónsko","Grónsko","01.01.1900","09.09.9999","GRL"
"CS","CZEMALFA",1186,"GM","Gambie","Gambijská republika","01.01.1900","09.09.9999","GMB"
"CS","CZEMALFA",1186,"GN","Guinea","Guinejská republika","01.01.1900","09.09.9999","GIN"
"CS","CZEMALFA",1186,"GP","Guadeloupe","Region Guadeloupe","01.01.1900","09.09.9999","GLP"
"CS","CZEMALFA",1186,"GQ","Rovníková Guinea","Republika Rovníková Guinea","01.01.1900","09.09.9999","GNQ"
